Protein1,Protein2,Score,Experimental System Type
TNFRSF1A,CYLD,999,genetic
TNFRSF1A,IKBKB,999,genetic
TNFRSF1A,TNF,999,genetic
TNFRSF1A,CHUK,999,genetic
TNFRSF1A,RIPK1,999,genetic
TNFRSF1A,BIRC3,999,genetic
TNFRSF1A,IKBKG,999,genetic
TNFRSF1A,FAS,999,genetic
TNFRSF1A,MAP3K7,999,genetic
TNFRSF1A,FADD,999,genetic
PPP2R5B,PPP2CA,999,genetic
PPP2R5B,PPP2R1A,999,genetic
VASH1,SVBP,999,genetic
NGFR,BDNF,999,genetic
NGFR,NGF,999,genetic
NGFR,LINGO1,999,genetic
NTN1,DSCAM,999,genetic
NTN1,DCC,999,genetic
NTN1,NEO1,999,genetic
TRO,BYSL,999,genetic
MRPS34,MRPS16,999,genetic
MRPS34,MRPS22,999,genetic
CDK13,CCNK,999,genetic
NDUFB4,MT-ND4,999,genetic
NDUFB4,NDUFA13,999,genetic
NDUFB4,NDUFB3,999,genetic
NDUFB4,NDUFAB1,999,genetic
NDUFB4,MT-ND5,999,genetic
NDUFB4,NDUFA9,999,genetic
NDUFB4,NDUFA5,999,genetic
NDUFB4,NDUFB11,999,genetic
NDUFB4,NDUFA6,999,genetic
NDUFB4,NDUFB2,999,genetic
NDUFB4,NDUFA12,999,genetic
NDUFB4,NDUFA3,999,genetic
NDUFB4,NDUFA1,999,genetic
NDUFB4,NDUFA11,999,genetic
NDUFB4,NDUFA7,999,genetic
NDUFB4,NDUFB1,999,genetic
NDUFB4,NDUFA10,999,genetic
NDUFB4,NDUFA8,999,genetic
NDUFB4,NDUFA2,999,genetic
NDUFB4,NDUFB10,999,genetic
OSTM1,CLCN7,999,genetic
STRADB,CAB39,999,genetic
RRN3,POLR1C,999,genetic
RRN3,POLR1A,999,genetic
RRN3,POLR1B,999,genetic
DIMT1,TSR1,999,genetic
DIMT1,BYSL,999,genetic
RBM22,BUD31,999,genetic
RBM22,AQR,999,genetic
RBM22,CDC5L,999,genetic
RBM22,CWC15,999,genetic
RBM22,PRPF8,999,genetic
RBM22,CRNKL1,999,genetic
RBM22,PLRG1,999,genetic
RBM22,PRPF19,999,genetic
RBM22,CDC40,999,genetic
RBM22,EFTUD2,999,genetic
HSD17B2,HSD17B1,999,genetic
ZW10,STX18,999,genetic
ZW10,NBAS,999,genetic
ZW10,KNTC1,999,genetic
ZW10,RINT1,999,genetic
ITGB4,ITGA6,999,genetic
PPP1R15A,EIF2S1,999,genetic
UQCRC1,UQCR10,999,genetic
UQCRC1,NDUFS5,999,genetic
UQCRC1,NDUFS2,999,genetic
UQCRC1,UQCR11,999,genetic
UQCRC1,NDUFV1,999,genetic
UQCRC1,COX5B,999,genetic
UQCRC1,CYC1,999,genetic
UQCRC1,UQCRB,999,genetic
UQCRC1,NDUFA12,999,genetic
UQCRC1,MT-CYB,999,genetic
UQCRC1,COX5A,999,genetic
CHRD,BMP4,999,genetic
CHRD,BMP2,999,genetic
GNPTG,GNPTAB,999,genetic
DLD,BCKDHA,999,genetic
DLD,DBT,999,genetic
DLD,DLAT,999,genetic
DLD,BCKDHB,999,genetic
HAUS4,HAUS1,999,genetic
HAUS4,HAUS3,999,genetic
OSGEP,GON7,999,genetic
OSGEP,LAGE3,999,genetic
UNC13D,RAB27A,999,genetic
CDC6,MCM5,999,genetic
CDC6,MCM4,999,genetic
CDC6,CCNA2,999,genetic
CDC6,MCM6,999,genetic
KLHL20,CUL3,999,genetic
DHPS,EIF5A,999,genetic
DHPS,DOHH,999,genetic
PSMD5,ADRM1,999,genetic
PSMD5,PSMD6,999,genetic
PSMD5,PSMD4,999,genetic
PSMD5,PSMC2,999,genetic
PSMD5,PSMD3,999,genetic
PSMD5,PSMC4,999,genetic
PSMD5,PSMC3,999,genetic
PSMD5,PSMC5,999,genetic
PSMD5,PSMC6,999,genetic
PSMD5,PSMD1,999,genetic
PSMD5,PSMC1,999,genetic
PSMD5,PSMD14,999,genetic
PSMD5,PSMD2,999,genetic
PSMD5,PSMD12,999,genetic
PSMD5,PSMD13,999,genetic
VCL,SORBS1,999,genetic
VCL,CTNNA1,999,genetic
VCL,ACTN4,999,genetic
VCL,VASP,999,genetic
VCL,TLN2,999,genetic
VCL,TLN1,999,genetic
VCL,ACTN1,999,genetic
VCL,SORBS3,999,genetic
VCL,PXN,999,genetic
VCL,BCAR1,999,genetic
SIRT1,FOXO3,999,genetic
SIRT1,CLOCK,999,genetic
SIRT1,PPARGC1A,999,genetic
SIRT1,CCAR2,999,genetic
SIRT1,FOXO1,999,genetic
PSMD8,PSMC1,999,genetic
PSMD8,PSMD14,999,genetic
PSMD8,PSMD1,999,genetic
PSMD8,PSMB2,999,genetic
PSMD8,PSMC6,999,genetic
PSMD8,PSMB3,999,genetic
PSMD8,PSMA3,999,genetic
PSMD8,PSMD7,999,genetic
PSMD8,PSMD5,999,genetic
PSMD8,PSMD13,999,genetic
PSMD8,PSMD12,999,genetic
PSMD8,PSMA4,999,genetic
PSMD8,PSMD2,999,genetic
PSMD8,PSMB4,999,genetic
PSMD8,PSMD6,999,genetic
PSMD8,UCHL5,999,genetic
PSMD8,PSMA1,999,genetic
PSMD8,PSMB6,999,genetic
PSMD8,ADRM1,999,genetic
PSMD8,PSMC3,999,genetic
PSMD8,PSMC4,999,genetic
PSMD8,PSMC5,999,genetic
PSMD8,PSMD11,999,genetic
PSMD8,PSMD3,999,genetic
PSMD8,PSMA2,999,genetic
PSMD8,PSMD4,999,genetic
PSMD8,PSMC2,999,genetic
ATP5F1D,ATP5F1A,999,genetic
ATP5F1D,ATP5F1B,999,genetic
ATP5F1D,ATP5F1C,999,genetic
NDUFB7,NDUFA7,999,genetic
NDUFB7,NDUFA1,999,genetic
NDUFB7,NDUFA11,999,genetic
NDUFB7,NDUFA3,999,genetic
NDUFB7,MT-ND1,999,genetic
NDUFB7,MT-ND2,999,genetic
NDUFB7,NDUFB10,999,genetic
NDUFB7,NDUFA2,999,genetic
NDUFB7,NDUFA8,999,genetic
NDUFB7,NDUFA10,999,genetic
NDUFB7,NDUFB6,999,genetic
NDUFB7,NDUFB4,999,genetic
NDUFB7,NDUFAB1,999,genetic
NDUFB7,NDUFB3,999,genetic
NDUFB7,UQCRQ,999,genetic
NDUFB7,NDUFA13,999,genetic
NDUFB7,NDUFB5,999,genetic
NDUFB7,MT-ND3,999,genetic
NDUFB7,MT-ND4,999,genetic
NDUFB7,NDUFA12,999,genetic
NDUFB7,NDUFB2,999,genetic
NDUFB7,NDUFA6,999,genetic
NDUFB7,NDUFB11,999,genetic
NDUFB7,NDUFA5,999,genetic
NDUFB7,MT-ND5,999,genetic
NDUFB7,NDUFA9,999,genetic
TIMM13,TIMM10,999,genetic
GADD45B,MAP3K4,999,genetic
MADCAM1,ITGA4,999,genetic
SERPIND1,F2,999,genetic
SNAP29,ATG14,999,genetic
MIF,CD74,999,genetic
OSM,LIFR,999,genetic
SF3A1,DDX46,999,genetic
SF3A1,PRPF6,999,genetic
SF3A1,SART1,999,genetic
SF3A1,MFAP1,999,genetic
SF3A1,PRPF8,999,genetic
SF3A1,EFTUD2,999,genetic
USP18,ISG15,999,genetic
USP18,IFNAR2,999,genetic
SNRPD3,PRPF3,999,genetic
SNRPD3,LSM6,999,genetic
SNRPD3,LSM7,999,genetic
SNRPD3,LSM5,999,genetic
SNRPD3,SF3A2,999,genetic
SNRPD3,PRPF8,999,genetic
SNRPD3,LSM4,999,genetic
SNRPD3,CRNKL1,999,genetic
SNRPD3,SNRPA1,999,genetic
SNRPD3,LSM8,999,genetic
SNRPD3,CDC40,999,genetic
SNRPD3,EFTUD2,999,genetic
SNRPD3,LSM2,999,genetic
SNRPD3,PRPF19,999,genetic
SNRPD3,SNRPD1,999,genetic
SNRPD3,SNRPD2,999,genetic
SNRPD3,SNRNP200,999,genetic
SNRPD3,SNRPA,999,genetic
SNRPD3,LSM3,999,genetic
SNRPD3,LSM10,999,genetic
SNRPD3,BUD31,999,genetic
SNRPD3,SNRPC,999,genetic
SNRPD3,SNRNP70,999,genetic
SNRPD3,SNRPB,999,genetic
SNRPD3,PRPF6,999,genetic
SNRPD3,CDC5L,999,genetic
SNRPD3,SNRPB2,999,genetic
MAPK1,MAP2K1,999,genetic
MAPK1,MAP2K2,999,genetic
TCN2,CD320,999,genetic
CENPM,CENPA,999,genetic
CENPM,CENPK,999,genetic
CENPM,CENPH,999,genetic
CENPM,CENPC,999,genetic
CENPM,CENPL,999,genetic
CENPM,CENPI,999,genetic
TOMM22,TOMM20,999,genetic
RTCB,DDX1,999,genetic
RTCB,FAM98B,999,genetic
GTPBP1,GP2,999,genetic
BIK,BCL2L1,999,genetic
BIK,BCL2,999,genetic
MCM5,MCM4,999,genetic
MCM5,GINS4,999,genetic
MCM5,CDC7,999,genetic
MCM5,GINS1,999,genetic
MCM5,CDT1,999,genetic
MCM5,ORC2,999,genetic
MCM5,MCM2,999,genetic
MCM5,MCM3,999,genetic
MCM5,CDC6,999,genetic
MCM5,GINS2,999,genetic
MCM5,WDHD1,999,genetic
MCM5,CDC45,999,genetic
MCM5,GINS3,999,genetic
CBX7,BMI1,999,genetic
TAB1,MAP3K7,999,genetic
TAB1,IKBKG,999,genetic
TAB1,MAPK14,999,genetic
EIF3D,EIF3B,999,genetic
EIF3D,EIF3A,999,genetic
EIF3D,EIF3C,999,genetic
UPK3A,UPK1A,999,genetic
UPK3A,UPK2,999,genetic
UPK3A,UPK1B,999,genetic
ST13,HSPA8,999,genetic
IL2RB,IL2,999,genetic
IL2RB,IL15RA,999,genetic
IL2RB,IL2RA,999,genetic
IL2RB,IL15,999,genetic
RBX1,CUL7,999,genetic
RBX1,CAND1,999,genetic
RBX1,CUL4A,999,genetic
RBX1,GLMN,999,genetic
RBX1,FBXW8,999,genetic
RBX1,NEDD8,999,genetic
RBX1,DCAF1,999,genetic
RBX1,BTRC,999,genetic
RBX1,CUL2,999,genetic
RBX1,DET1,999,genetic
RBX1,CRBN,999,genetic
RBX1,CUL4B,999,genetic
RBX1,CUL3,999,genetic
RBX1,CUL5,999,genetic
RBX1,DDB1,999,genetic
RBX1,ELOC,999,genetic
RBX1,CUL1,999,genetic
RBX1,DDB2,999,genetic
RBX1,KEAP1,999,genetic
RBX1,FBXW7,999,genetic
RBX1,ELOB,999,genetic
RBX1,UBE2D3,999,genetic
RBX1,CDC34,999,genetic
ACO2,CS,999,genetic
RIPK3,RIPK1,999,genetic
RIPK3,MLKL,999,genetic
RIPK3,CASP8,999,genetic
RIPK3,FADD,999,genetic
NID2,HSPG2,999,genetic
SUPT16H,SSRP1,999,genetic
AP4S1,AP4B1,999,genetic
AP4S1,AP4M1,999,genetic
AP4S1,AP4E1,999,genetic
POLE2,MCM3,999,genetic
POLE2,CDC45,999,genetic
POLE2,POLE,999,genetic
SOS2,SHC1,999,genetic
SOS2,GRB2,999,genetic
ATP6V1D,ATP6V1B2,999,genetic
ATP6V1D,ATP6V1A,999,genetic
ATP6V1D,ATP6V1B1,999,genetic
ATP6V1D,ATP6V0A1,999,genetic
ATP6V1D,ATP6V0D2,999,genetic
ATP6V1D,ATP6V1C1,999,genetic
ATP6V1D,ATP6V0D1,999,genetic
ATP6V1D,ATP6V0C,999,genetic
ATP6V1D,ATP6V0B,999,genetic
PIGH,PIGA,999,genetic
PIGH,DPM2,999,genetic
PIGH,PIGC,999,genetic
PSMA3,POMP,999,genetic
PSMA3,PSMA1,999,genetic
PSMA3,PSMA2,999,genetic
SPTLC2,SPTLC1,999,genetic
SPTLC2,ORMDL3,999,genetic
RIN3,BIN1,999,genetic
EIF5,EIF3I,999,genetic
EIF5,EIF2S2,999,genetic
EIF5,EIF1,999,genetic
EIF5,EIF3G,999,genetic
EIF5,EIF3B,999,genetic
NFKBIA,IKBKG,999,genetic
NFKBIA,BTRC,999,genetic
NFKBIA,CHUK,999,genetic
NFKBIA,IKBKB,999,genetic
NFKBIA,NFKB1,999,genetic
NFKBIA,CUL1,999,genetic
PSME2,PSME1,999,genetic
PYGB,AGL,999,genetic
PROCR,THBD,999,genetic
MYBL2,LIN54,999,genetic
MYBL2,LIN52,999,genetic
MYBL2,LIN9,999,genetic
MYBL2,LIN37,999,genetic
SALL4,NANOG,999,genetic
PROKR2,PROK2,999,genetic
PIGU,PIGS,999,genetic
PIGU,GPAA1,999,genetic
PIGU,PIGT,999,genetic
PIGU,PIGK,999,genetic
IDH3G,IDH3A,999,genetic
IDH3G,IDH3B,999,genetic
PSMD10,PSMC2,999,genetic
PSMD10,PSMC4,999,genetic
PSMD10,PSMC3,999,genetic
PSMD10,PSMC5,999,genetic
PSMD10,PAAF1,999,genetic
PSMD10,PSMC6,999,genetic
PSMD10,PSMD1,999,genetic
PSMD10,PSMC1,999,genetic
STAG2,SMC3,999,genetic
STAG2,RAD21,999,genetic
STAG2,PDS5A,999,genetic
STAG2,SMC1A,999,genetic
TIMP1,MMP9,999,genetic
TIMP1,MMP3,999,genetic
TIMP1,MMP14,999,genetic
TIMP1,MMP1,999,genetic
MLNR,MLN,999,genetic
SGCG,SGCA,999,genetic
ORC6,CDC6,999,genetic
ORC6,ORC2,999,genetic
ORC6,ORC4,999,genetic
ORC6,ORC1,999,genetic
ORC6,ORC5,999,genetic
ORC6,MCM7,999,genetic
ORC6,ORC3,999,genetic
ARL2BP,ARL2,999,genetic
DHODH,UMPS,999,genetic
POLR2C,POLR2B,999,genetic
POLR2C,POLR2A,999,genetic
PARD6A,PARD3,999,genetic
PSMD7,ADRM1,999,genetic
PSMD7,PSMA1,999,genetic
PSMD7,UCHL5,999,genetic
PSMD7,PSMB7,999,genetic
PSMD7,PSMD6,999,genetic
PSMD7,PSMB4,999,genetic
PSMD7,PSMD4,999,genetic
PSMD7,PSMC2,999,genetic
PSMD7,PSMD3,999,genetic
PSMD7,PSMA2,999,genetic
PSMD7,PSMD11,999,genetic
PSMD7,PSMC4,999,genetic
PSMD7,PSMC3,999,genetic
PSMD7,PSMC5,999,genetic
PSMD7,PSMA3,999,genetic
PSMD7,PSMB3,999,genetic
PSMD7,PSMC6,999,genetic
PSMD7,PSMB2,999,genetic
PSMD7,PSMD1,999,genetic
PSMD7,PSMC1,999,genetic
PSMD7,PSMD14,999,genetic
PSMD7,PSMD2,999,genetic
PSMD7,PSMA5,999,genetic
PSMD7,PSMA4,999,genetic
PSMD7,PSMD12,999,genetic
PSMD7,PSMD13,999,genetic
PSMD7,PSMD5,999,genetic
PSMD7,PSMB1,999,genetic
TSC2,TBC1D7,999,genetic
TSC2,TSC1,999,genetic
TSC2,RHEB,999,genetic
STUB1,HSPA8,999,genetic
STUB1,HSP90AA1,999,genetic
STUB1,HSP90AB1,999,genetic
STUB1,HSPA4,999,genetic
STUB1,BAG3,999,genetic
MEFV,AIM2,999,genetic
MEFV,CASP1,999,genetic
GABPB1,GABPA,999,genetic
VPS18,VPS11,999,genetic
VPS18,VPS16,999,genetic
VPS18,TGFBRAP1,999,genetic
OIP5,MIS18A,999,genetic
OIP5,MIS18BP1,999,genetic
AGO2,AGO1,999,genetic
PAG1,CSK,999,genetic
BRF2,BDP1,999,genetic
RIPK2,NOD1,999,genetic
RIPK2,NOD2,999,genetic
EIF3E,EIF3C,999,genetic
EIF3E,EIF3D,999,genetic
EIF3E,EIF3CL,999,genetic
EIF3E,EIF3A,999,genetic
EIF3E,EIF3B,999,genetic
EMC2,EMC10,999,genetic
EMC2,EMC1,999,genetic
DCTN6,DCTN1,999,genetic
DCTN6,ACTR10,999,genetic
DCTN6,DCTN2,999,genetic
DCTN6,DCTN5,999,genetic
DCTN6,DCTN4,999,genetic
DCTN6,DCTN3,999,genetic
DCTN6,ACTR1A,999,genetic
TNFRSF10A,FADD,999,genetic
PPP2CB,IGBP1,999,genetic
NEFM,NEFL,999,genetic
EXOSC5,EXOSC1,999,genetic
EXOSC5,C1D,999,genetic
EXOSC5,DIS3,999,genetic
EXOSC5,EXOSC10,999,genetic
EXOSC5,EXOSC3,999,genetic
EXOSC5,EXOSC2,999,genetic
EXOSC5,EXOSC4,999,genetic
EXOSC5,DIS3L,999,genetic
PAF1,CDC73,999,genetic
PAF1,CTR9,999,genetic
PAF1,LEO1,999,genetic
HNRNPL,HNRNPA2B1,999,genetic
RELB,NFKB2,999,genetic
RELB,RELA,999,genetic
RELB,NFKB1,999,genetic
SF3A2,PRPF31,999,genetic
SF3A2,PHF5A,999,genetic
SF3A2,DDX46,999,genetic
SF3A2,PRPF6,999,genetic
SF3A2,SART1,999,genetic
SF3A2,PRPF8,999,genetic
SF3A2,SF3A1,999,genetic
SGTA,GET4,999,genetic
SNAPC2,SNAPC1,999,genetic
FBL,DKC1,999,genetic
POLR2I,POLR2G,999,genetic
POLR2I,GTF2F1,999,genetic
POLR2I,POLR2C,999,genetic
POLR2I,POLR2E,999,genetic
POLR2I,POLR2B,999,genetic
POLR2I,POLR2D,999,genetic
POLR2I,POLR2H,999,genetic
POLR2I,POLR2A,999,genetic
POLR2I,POLR2F,999,genetic
TGFB1,DCN,999,genetic
TGFB1,LTBP1,999,genetic
EPOR,EPO,999,genetic
RPL18A,RPLP2,999,genetic
RPL18A,RPS14,999,genetic
RPL18A,RPL12,999,genetic
RPL18A,RPL13A,999,genetic
RPL18A,FAU,999,genetic
RPL18A,RPS27,999,genetic
RPL18A,EEF2,999,genetic
RPL18A,RPL14,999,genetic
RPL18A,RPLP1,999,genetic
RPL18A,RPS4X,999,genetic
RPL18A,RPL10A,999,genetic
RPL18A,EIF6,999,genetic
RPL18A,RPL17,999,genetic
RPL18A,RPL26,999,genetic
RPL18A,RPL11,999,genetic
RPL18A,RPL18,999,genetic
RPL18A,RPL13,999,genetic
RPL18A,RPS10,999,genetic
RPL18A,RACK1,999,genetic
RPL18A,RPL15,999,genetic
RPL18A,RPL10,999,genetic
PIK3R2,PIK3R1,999,genetic
PIK3R2,PIK3CB,999,genetic
PIK3R2,PIK3CD,999,genetic
PIK3R2,PIK3CA,999,genetic
PIK3R2,PIK3CG,999,genetic
GAPDHS,TPI1,999,genetic
USF2,USF1,999,genetic
ERF,SCAF1,999,genetic
GSK3A,AXIN1,999,genetic
TWISTNB,RRN3,999,genetic
TWISTNB,POLR1B,999,genetic
TWISTNB,POLR1D,999,genetic
TWISTNB,POLR1C,999,genetic
TWISTNB,POLR2L,999,genetic
TWISTNB,POLR1E,999,genetic
TWISTNB,POLR2E,999,genetic
TWISTNB,POLR2K,999,genetic
TWISTNB,POLR2H,999,genetic
TWISTNB,CD3EAP,999,genetic
TWISTNB,POLR2F,999,genetic
TWISTNB,POLR1A,999,genetic
ITGB8,ITGAV,999,genetic
CAV2,CAV1,999,genetic
STX1A,CPLX1,999,genetic
STX1A,SNAP23,999,genetic
STX1A,SNAP25,999,genetic
NOD1,ATG16L1,999,genetic
WASL,CDC42,999,genetic
WASL,ARPC1B,999,genetic
WASL,ACTR3,999,genetic
WASL,CTTN,999,genetic
WASL,NCK1,999,genetic
WASL,ACTR2,999,genetic
WASL,ITSN1,999,genetic
WASL,WIPF3,999,genetic
WASL,GRB2,999,genetic
AIMP2,AIMP1,999,genetic
SERPINE1,PLAU,999,genetic
SERPINE1,PLAT,999,genetic
RPA3,RPA1,999,genetic
RPA3,RPA2,999,genetic
FIS1,DNM1L,999,genetic
PSMA2,PSMA1,999,genetic
MRPL32,MRPL19,999,genetic
MRPL32,MRPL27,999,genetic
MRPL32,MRPL22,999,genetic
MRPL32,MRPL20,999,genetic
MRPL32,RPS18,999,genetic
MRPL32,MRPL13,999,genetic
MRPL32,MRPL12,999,genetic
MRPL32,RPL23A,999,genetic
MRPL32,MRPL21,999,genetic
MRPL32,MRPL17,999,genetic
YKT6,STX7,999,genetic
YKT6,STX5,999,genetic
YKT6,VTI1B,999,genetic
YKT6,GOSR1,999,genetic
SEC61B,SEC61A1,999,genetic
TNFSF8,TNFRSF8,999,genetic
RLN1,RXFP1,999,genetic
BLNK,LYN,999,genetic
FBXL15,SKP1,999,genetic
STN1,CTC1,999,genetic
MPO,AZU1,999,genetic
MPO,ELANE,999,genetic
MPO,CTSG,999,genetic
UTP18,HEATR1,999,genetic
UTP18,UTP15,999,genetic
UTP18,NOP56,999,genetic
UTP18,NGDN,999,genetic
UTP18,KRR1,999,genetic
UTP18,BYSL,999,genetic
UTP18,NOC4L,999,genetic
UTP18,TBL3,999,genetic
UTP18,BMS1,999,genetic
UTP18,UTP11,999,genetic
UTP18,RRP7A,999,genetic
UTP18,RCL1,999,genetic
UTP18,PWP2,999,genetic
UTP18,MPHOSPH10,999,genetic
UTP18,NOL6,999,genetic
RPL19,RPL10A,999,genetic
RPL19,RPL17,999,genetic
RPL19,RPS4X,999,genetic
RPL19,RACK1,999,genetic
RPL19,RPL15,999,genetic
RPL19,RPL10,999,genetic
RPL19,RPL11,999,genetic
RPL19,RPL18,999,genetic
RPL19,RPL13,999,genetic
RPL19,FAU,999,genetic
RPL19,RPL12,999,genetic
RPL19,RPS15A,999,genetic
RPL19,RPL13A,999,genetic
RPL19,RPL18A,999,genetic
RPL19,EEF2,999,genetic
RPL19,RPL14,999,genetic
RPL19,RPL36AL,999,genetic
RPL19,RPS27,999,genetic
CSF3,CSF2,999,genetic
SUPT4H1,POLR2B,999,genetic
SUPT4H1,POLR2D,999,genetic
SUPT4H1,POLR2A,999,genetic
RPS6KB1,RPS6,999,genetic
RPS6KB1,MTOR,999,genetic
GALK1,GALM,999,genetic
GALK1,GALT,999,genetic
PFN1,ACTB,999,genetic
GOSR1,GOSR2,999,genetic
GOSR1,BET1L,999,genetic
GOSR1,BET1,999,genetic
GOSR1,SCFD1,999,genetic
MED31,MED19,999,genetic
MED31,MED10,999,genetic
MED31,MED12,999,genetic
MED31,MED14,999,genetic
MED31,MED26,999,genetic
MED31,MED28,999,genetic
MED31,MED18,999,genetic
MED31,MED17,999,genetic
MED31,MED22,999,genetic
MED31,MED21,999,genetic
DRG2,RWDD1,999,genetic
CCL2,CCL4L2,999,genetic
CCL2,CCL15,999,genetic
CCL2,CXCL8,999,genetic
CCL2,CXCL9,999,genetic
CCL13,CXCL11,999,genetic
CCL13,CXCL9,999,genetic
CCL13,CXCL10,999,genetic
HSD17B1,HSD17B2,999,genetic
MRPL27,MRPL22,999,genetic
MRPL27,MRPL16,999,genetic
MRPL27,MRPL20,999,genetic
MRPL27,MRPL19,999,genetic
MRPL27,MRPL12,999,genetic
MRPL27,MRPL21,999,genetic
MRPL27,RPL23A,999,genetic
MRPL27,MRPL17,999,genetic
MRPL27,MRPL13,999,genetic
RCVRN,GRK1,999,genetic
VTN,SERPINE1,999,genetic
VTN,ITGB3,999,genetic
VTN,PLAUR,999,genetic
VTN,ITGAV,999,genetic
VTN,ITGA2B,999,genetic
VTN,FN1,999,genetic
CXCL6,CXCL1,999,genetic
CXCL6,CCL5,999,genetic
CXCL6,CXCL12,999,genetic
GNRHR,GNRH1,999,genetic
PF4V1,CXCL10,999,genetic
PF4V1,CXCL13,999,genetic
PF4V1,CXCL11,999,genetic
NFKB1,TNF,999,genetic
NFKB1,CHUK,999,genetic
NFKB1,IKBKB,999,genetic
NFKB1,BCL3,999,genetic
NFKB1,IKBKG,999,genetic
IL2,IL1B,999,genetic
GAR1,DKC1,999,genetic
SPI1,IRF8,999,genetic
CRTAM,CADM1,999,genetic
UNC93B1,TLR3,999,genetic
PRPF19,CDC5L,999,genetic
PRPF19,CWC15,999,genetic
PRPF19,PPIE,999,genetic
PRPF19,AQR,999,genetic
PRPF19,BUD31,999,genetic
PRPF19,BCAS2,999,genetic
PRPF19,CTNNBL1,999,genetic
PRPF19,EFTUD2,999,genetic
PRPF19,CDC40,999,genetic
PRPF19,PLRG1,999,genetic
PRPF19,CRNKL1,999,genetic
PRPF19,CWC22,999,genetic
APOC3,APOC1,999,genetic
APOC3,APOC2,999,genetic
APOC3,APOB,999,genetic
APOC3,APOA2,999,genetic
